timestamp,kpi_file,suffix,git_head,git_dirty,sha_sim,sha_cfg,sha_4h,sha_1d,numeraire,seed_usd,seed_btc,ema_fast,ema_slow,dwell,bb_enabled,bb_flips_per_week_max,bb_dynamic_by_atr,atr_enabled,atr_p,atr_yb,fee_bps_per_side,slip_bps_per_side,net_btc_ratio,mdd_model_usd,mdd_hodl_usd,mdd_vs_hodl_ratio,flips_total,flips_per_year,0,window,flips_blocked_hard,file,flips_blocked_weekly,weekly_cap_enabled,weekly_cap_per_side,cross_buffer_bps,macro_buffer_bps,confirm_bars,dwell_bars_min_between_flips
2025-09-08T23:20:06Z,base_v0_1_20250908_2315_kpis__bb1-dynATR-dw6-p40-yb5.csv,bb1-dynATR-dw6-p40-yb5,7dd52ba,1.0,759223de59145e81a24adebd592f0679eb0792f5a74480a5cf7a4219dd18af47,b2f41d6ea68fb0dcd970bfce98c83fdc364d08aa2a4acb0220aa2440361a14b6,8ed4106827e6f8628696b7e8188e346a3b046e0d2f87cb0fa098cc76073e00ce,bb756f3b1317836bb37f166d00b6d3fa358732fd2545cc181945973c5dcaa98b,BTC,,1.0,21.0,55.0,6.0,True,1.0,True,True,40.0,3.0,6.0,6.0,0.6165953034425734,0.2317714626890112,0.3061534761173223,0.7570433810792111,102.0,73.33759842519686,,,,,,,,,,,
2025-09-09T11:53:26Z,base_v0_1_20250909_1150_kpis__bb1-dynATR-dw6-p40-yb5-xbuf25-oos23Q4.csv,bb1-dynATR-dw6-p40-yb5-xbuf25-oos23Q4,9a16efb,1.0,8621510df6979abc2607bd6f24f2467eb7290bbd7002d133becebfaa58bfa668,adc211921cbefe805d32ad131b1c47b1f831b22d2cae6860e2279d1df04b4957,8ed4106827e6f8628696b7e8188e346a3b046e0d2f87cb0fa098cc76073e00ce,bb756f3b1317836bb37f166d00b6d3fa358732fd2545cc181945973c5dcaa98b,BTC,,1.0,21.0,55.0,6.0,True,1.0,True,True,40.0,3.0,6.0,6.0,0.3508918176158046,0.0818706380012384,0.0778161936115595,1.052102836202934,24.0,97.4,,,,,,,,,,,
2025-09-09T11:53:26Z,base_v0_1_20250909_1150_kpis__bb1-dynATR-dw6-p40-yb5-xbuf25-oos24H1.csv,bb1-dynATR-dw6-p40-yb5-xbuf25-oos24H1,9a16efb,1.0,8621510df6979abc2607bd6f24f2467eb7290bbd7002d133becebfaa58bfa668,adc211921cbefe805d32ad131b1c47b1f831b22d2cae6860e2279d1df04b4957,8ed4106827e6f8628696b7e8188e346a3b046e0d2f87cb0fa098cc76073e00ce,bb756f3b1317836bb37f166d00b6d3fa358732fd2545cc181945973c5dcaa98b,BTC,,1.0,21.0,55.0,6.0,True,1.0,True,True,40.0,3.0,6.0,6.0,0.3825536537774595,0.3432096068754039,0.2249250138713142,1.525884564674357,48.0,97.4,,,,,,,,,,,
2025-09-09T12:10:59Z,base_v0_1_20250909_1207_kpis__bb1-dynATR-dw6-p40-yb5-xbuf40-mbuf20-oos23Q4.csv,bb1-dynATR-dw6-p40-yb5-xbuf40-mbuf20-oos23Q4,9a16efb,1.0,571a6e602ff7feb2a215a458bf0d1a29bf464016ab6894dc2e1c5167796b3988,54c6360b8da1b987d9b4c3ce7cb73ae051e2fbce7fdc35f5c89ca5147aa4aab9,8ed4106827e6f8628696b7e8188e346a3b046e0d2f87cb0fa098cc76073e00ce,bb756f3b1317836bb37f166d00b6d3fa358732fd2545cc181945973c5dcaa98b,BTC,,1.0,21.0,55.0,6.0,True,1.0,True,True,40.0,5.0,6.0,6.0,0.3271821003217441,0.092836111761581,0.0778161936115595,1.1930178983695536,22.0,89.28333333333333,,,,,,,,,,,
2025-09-09T12:10:59Z,base_v0_1_20250909_1207_kpis__bb1-dynATR-dw6-p40-yb5-xbuf40-mbuf20-oos24H1.csv,bb1-dynATR-dw6-p40-yb5-xbuf40-mbuf20-oos24H1,9a16efb,1.0,571a6e602ff7feb2a215a458bf0d1a29bf464016ab6894dc2e1c5167796b3988,54c6360b8da1b987d9b4c3ce7cb73ae051e2fbce7fdc35f5c89ca5147aa4aab9,8ed4106827e6f8628696b7e8188e346a3b046e0d2f87cb0fa098cc76073e00ce,bb756f3b1317836bb37f166d00b6d3fa358732fd2545cc181945973c5dcaa98b,BTC,,1.0,21.0,55.0,6.0,True,1.0,True,True,40.0,5.0,6.0,6.0,0.3934526697833794,0.3179532474302183,0.2249250138713142,1.413596655870957,46.0,93.34166666666668,,,,,,,,,,,
,,bb1-dynATR-dw10-mbuf10-xbuf40-oos23Q4,,,,,,,,,,,,,,,,,,,,,1.0,0.0778161936115595,0.0778161936115595,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,40.0,10.0,2.0,10.0
,,bb1-dynATR-dw10-mbuf10-xbuf40-oos24H1,,,,,,,,,,,,,,,,,,,,,1.0,0.2249250138713142,0.2249250138713142,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,40.0,10.0,2.0,10.0
,,bb1-dynATR-dw10-mbuf0-xbuf40-oos23Q4,,,,,,,,,,,,,,,,,,,,,1.0,0.0778161936115595,0.0778161936115595,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,40.0,0.0,2.0,10.0
,,bb1-dynATR-dw10-mbuf0-xbuf40-oos24H1,,,,,,,,,,,,,,,,,,,,,1.0,0.2249250138713142,0.2249250138713142,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,40.0,0.0,2.0,10.0
,,bb1-dynATR-dw8-mbuf0-xbuf25-cfb1-oos23Q4,,,,,,,,,,,,,,,,,,,,,1.0,0.0778161936115595,0.0778161936115595,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,25.0,0.0,1.0,8.0
,,bb1-dynATR-dw8-mbuf0-xbuf25-cfb1-oos24H1,,,,,,,,,,,,,,,,,,,,,1.0,0.2249250138713142,0.2249250138713142,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,25.0,0.0,1.0,8.0
,,bb1-dynATR-dw6-mbuf0-xbuf20-cfb1-oos23Q4,,,,,,,,,,,,,,,,,,,,,1.0,0.0778161936115595,0.0778161936115595,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,20.0,0.0,1.0,6.0
,,bb1-dynATR-dw6-mbuf0-xbuf20-cfb1-oos24H1,,,,,,,,,,,,,,,,,,,,,1.0,0.2249250138713142,0.2249250138713142,1.0,0.0,0.0,,,0.0,,0.0,True,1.0,20.0,0.0,1.0,6.0
